Question,Answer
Can I Purchase SME Data share on other Channels?,"Yes, you can purchase through: � My MTN App � SMS- By sending the keyword to 131 � USSD � By dialing the appropriate short string     Bundle   Price(N)   Validity (days)   Share Count   Opt-In SMS keyword    Opt-Out SMS keyword   Short String     25GB   10,000   30   50   468   NO468   *461*30#     35GB   13,500   30   70   501   NO501   *461*31#     165GB   50,000   60   330   504   NO504   *461*32#     360GB   100,000   90   720   503   NO503   *461*33#     1TB   250,000   90   2500   505   NO505   *461*34#     5TB   1,250,000   90   5120   506   NO506   *461*35#     10TB   2,520,000   90   10240   507   NO507   *461*36#     20TB   4,830,000   90   20480   508   NO508   *461*37#     25TB   5,770,000   90   25600   509   NO509   *461*38#"
What sizes of data can I share with my staff?,"You can share 500MB, 1GB, 2GB, 3GB, 5GB or 10GB. These are the only size of data that can be shared."
Is there a limit to the number of times I can share data with my staff,"Yes there are share counts as seen in the table below.     Bundle   Price(N)   Validity (days)   Share Count     25GB   10,000   30   50     35GB   13,500   30   70     165GB   50,000   60   330     360GB   100,000   90   720     1TB   250,000   90   2500     5TB   1,250,000   90   5120     10TB   2,520,000   90   10240     20TB   4,830,000   90   20480     25TB   5,770,000   90   25600"
How do I share my SME data bundle with my Staff?,"You can share your SME data share on the App and Web channels. You can also share data with any beneficiary by sending an SMS keyword to 131 or by dialing any of the USSD strings as shown in the table below     USSD Format   SMS Format to send to 131 to share data   Comment     *461*NUMBER*250*PIN#   SMEA <PhoneNumber> 250 <PIN> to 131   SMS to transfer 250MB     *461*NUMBER*500*PIN#   SMEB <PhoneNumber> 500 <PIN> to 131   SMS to transfer 500MB     *461*NUMBER*1000*PIN#   SMEC <PhoneNumber> 1000 <PIN> to 131   SMS to transfer 1GB     *461*NUMBER*2000*PIN#   SMED <PhoneNumber> 2000 <PIN> to 131   SMS to transfer 2GB     *461*NUMBER*5000*PIN#   SME <PhoneNumber> 5000 <PIN> to 131   SMS to transfer 5GB     � For example to share 500MB of data with beneficiary using phone number 08031234567 and MTN PIN �1234�, then the following is sent as SMS to 131 (or Dial *461# and follow the prompt)  SMEA 08031234567 250 1234 = Correct Format!"
How do my staff check their data balance through other channels?,Your staff can check their data balance by sending SHAREBALANCE to 131 or dial *461*2*3#.
Can I purchase another SME data plan while my current plan is still running?,"Yes, you can purchase additional SME Data plans multiple times while your current plan is still running. Your data will be accumulated and will assume the expiry date of your last SME Data plan."
"If I send data to my staff multiple times, does the data accumulate?","Yes, the data accumulates and takes on the expiry data of the last shared data bundle."
How do I know when my subscription will expire?,You will receive an SMS notifying you of the subscription expiration three days to the end of your subscription. This will continue everyday until the expiration of your subscription.
What is the MTN BizPlus Plan?,MTN BizPlus is a prepaid tariff plan that allows MSMEs enjoy a FLAT rate of ONLY 11.26k/sec for calls across ALL local networks after the first 60 second call of the day at 25k/sec. BizPlus subscribers also get rewarded with BizPlus Points when they perform some �revenue generating activities� which can be used to get different BizPlus bundles and other data bundles.
Who can activate the MTN BizPlus bundle?,All MTN prepaid customers can activate the BizPlus bundles.
Can I purchase the BizPlus bundle on other channels?,"Yes, you can purchase BizPlus bundles by dialing *460*2# from an MTN line or SMS BizPlus to 131."
Can I update the CallerFeel and CallerTunez Value Added Services?,Customer who have an active BizPlus Standard or BizPlus Premium bundle can update the VAS elements by dialing *460*2*5#
Can I purchase the BizPlus Bundles multiple times?,"You can purchase Bizplus bundles multiple times. However, the Time-based bundles have a cap of 5GB per day."
How can I check my BizPlus bundle balance?,You can check your main account balance and bundle expiry by dialing the code *131*4#
Will I be able to roll over my unused data if I renew my bundle before expiry?,"Yes, you would be able to roll over your unused data if you renew your bundle before expiry."
Will I be able to roll over my unused BizPlus Time-based bundles if I have unused data before expiry?,All unused data from your BizPlus Time-based bundles is not be rolled over and will expire daily.
Can I use a BizPlus bundle during roaming?,"No, BizPlus bundles cannot be used as a roaming bundle"
What is BizPlus Points Offer?,BizPlus Points Offer awards BizPlus customers points for the following activities � First-time migration to the Pulse tariff plan � Performing selected revenue-generating activities from your main account
"If I have been on the BizPlus tariff plan but migrated out, will I receive BizPlus Points for migrating back to the BizPlus tariff","No, you will not receive BizPlus points for migrating back to Migrating back to BizPlus. But you will still receive points when you perform selected revenue generating activities when on the BizPlus plan"
Can I use BizPlus Points to make calls?,"No, you can only use BizPlus points to redeem data"
What are the activities I should perform to receive BizPlus Points?,The selected activities are � First time migration BizPlus Tariff Plan � Purchase/Gifting of:     ? BizPlus bundles     ? Daily Data plans     ? Weekly Data plans     ? Monthly data plans
Will I be able to accumulate the BizPlus Points?,"Yes, you can accumulate your BizPlus points and exchange them for free data."
What services can I exchange my BizPlus Points for?,You will be able to redeem your BizPlus Points by using BizPlus points only for the following services: � Purchase of: ? BizPlus bundles ? Daily Data plans ? Weekly Data plans ? Monthly data plans
How can I redeem my BizPlus Points?,"To redeem your BizPlus Points, dial *460*2*6# and follow the instructions"
Will I receive BizPlus Points when I activate a data plan with my BizPlus points?,"No, you will NOT receive BizPlus points if you activate a data plan with your BizPlus Points"
How can I check my BizPlus Point balance?,"To check your BizPlus Point balance, dial *460*2*6#"
Will I be able to transfer my BizPlus Points to loved ones or family?,"No, bizPlus points are not transferable to loved ones or family"
What is the validity of BizPlus Points?,"All accumulated BizPlus points are valid for a period of 1 (one) Calendar Year e.g. January 1st 2022- December 31st 2022 11:59pm. If your points are not redeemed before the validity period, your points will be cleared."
Will my BizPlus Points be cleared if I migrate out of the BizPlus plans?,"You will lose your BizPlus points once you migrate out of the BizPlus Tariff Plan. However, once you migrate back to the BizPlus plan you can start earning BizPlus points when you perform certain activities on your line."
How much will I be charged for migrating from a BizPlus Plan?,"Your first migration out of the BizPlus plan in a month will not be charged, but for subsequent migration out of the plan within same month, you will be charged N102."
Will I be able to migrate to another plan and use my active bundle on the new tariff plan?,You will be able to migrate out of the BizPlus plan to another tariff plan even if you have an active BizPlus bundle BUT you will NOT be able to use the bundle balance on the plan you migrated to and the bundle will not auto-renew on the day of renewal.
Can I subscribe to different types of BizPlus bundles?,"Yes, you can subscribe to different BizPlus bundles at a time."
"Will I be able to enjoy other MTN Products, Services, Offers and Promotions while on the BizPlus Plan?","Yes, you will be able to enjoy all MTNN Products, Services, Offers and Promotions while on the BizPlus plan."
What is XtraValue Plan?,"MTN XtraValue tariff Plan is a plan that rewards you with airtime for National SMS & calls, International calls to 6 (six) selected international countries from the very first second and volumes of data for browsing after subscribing to any XtraValue bundle plan.The XtraValue bundle is divided into XtraTalk (this bundle gives you more airtime than data) and XtraData (this bundle gives you more data than airtime)."
Who can activate MTN Xtravalue bundle?,"All MTN Prepaid and Postpaid customers can activate the Xtravalue bundles. However, after the purchase of any XtraValue bundle, Prepaid Customers will be migrated to the Xtravalue plan to enjoy the bundle WHILE Postpaid Customers will enjoy the bundle from their respective tariff plan."
How do I migrate to the XtraValue tariff plan?,"Simply subscribe to any of the XtraValue bundles by:Dial *312*2# OR *123*2*5# and select any XtraValue plan of your choice.Send keyword of preferred XtraValue plan to 312. (See table below for keywords).Download myMTN App and select XtraValue plan of choice from the available XtraValue plans.Log on to MTN eShop (https://shop.mtn.ng )myMTN Web:Log on to https://mymtn.com.ngEnter your phone number.Enter OTP and select �Proceed�.Select �Buy Bundle�.Select �Data and Voice bundle�.Select XtraValue plan of choice from the available XtraValue plans.Once you have successfully subscribed to a bundle plan, you will be automatically migrated to XtraValue plan and your XtraValue bundle account will be credited with the bundle elements.Note: If you are a Postpaid customer, you will not be migrated to the XtraValue plan. You will be able to enjoy the bundle from your tariff plan."
"I noticed two additional bundles i.e., the XtraTalk 3500 and Xtradata 3500 on the XtraValue menu when I tried to buy my bundle. Are they new bundles?","Yes, the XtraValue bundle bouquet has been enriched with two additional bundles (i.e. the XtraTalk 3500 and XtraData 3500) to give you more options to choose from."
Are the new XtraValue 3500 bundles different from the existing XtraValue bundles?,"No. The XtraValue 3500 bundles also give you voice and data that can be used to call, SMS, and browse just like the existing XtraValue bundles."
"My sister that just bought a new MTN SIM gets more data volume whenever she buys any XtraData bundle but when I buy the same XtraData bundle, I get less volume. Why?","Yes. New MTN customers that join the network will now enjoy a 100% data bonus on their XtraData bundle purchase within 30 days of joining the network but Customers that are 31 days and above will get the regular bundle values when they buy any XtraData bundles.Note: The 100% data bonus is only applicable to the data bundle value (and not the Voice value) when an eligible customer buys any XtraData bundle.�Example (Scenario 1)Zainab activated a new line on the 5th of June and selects the XtraValue plan at the point of activation, she will enjoy the 100% data bonus on every XtraData bundle she buys till the 4th of July 2022. From the 5th of July, she will NOT enjoy the 100% data bonus if she buys any XtraData bundle.Revamped Xtradata Benefits for new customers.Bundle Type�XtraData BenefitsValidityStandard100% data bonus on 1st MonthDataVoiceDataVoiceXtraData Mini 200200MBN200400MBN2003 daysXtraData 300350MBN300700MBN3007 daysXtraData 500750MBN5001.5GBN5007 daysXtraData 1,0001.5GBN1,0003GBN1,00030 daysXtraData 2,0004.5GBN2,0009GBN2,00030 daysXtraData 3,50012GBN3,50024GBN3,50030 daysXtraData 5,00015GBN5,00030GBN5,00030 daysXtraData 10,00030GBN10,00060GBN10,00030 daysXtraData 15,00050GBN15,000100GBN15,00030 daysXtraData 20,00070GBN20,000140GBN20,00030 days"
"Wow, I just received a pop-up menu to choose either One-off or Recurrent (Auto-renew) option after activating the XtraValue bundle. What does this mean?","The Pop-up menu is a new feature that allows you to set your XtraValue bundle on One-off or Recurrent purchases:One-Off Purchase means that your Xtravalue bundle will NOT auto-renew after expiry.Auto-renewal/ Recurrent Purchase means your XtraValue bundle will auto-renew after expiry.Note:For a one-off purchase, your XtraValue Bundle will NOT renew automatically after exhausting the bundle element or on the expiry of the bundle.For recurrent purchases, your XtraValue Bundle will renew automatically after exhausting the bundle element or on the expiry of the bundle."
"If I cancel the Pop-Up Menu or it times out before selecting an option, will my XtraValue bundle be on a One-off or Recurrent option?","If you cancel the Pop-Up Menu or it times out before selecting an option, your XtraValue bundle will be on One-off purchase. This means that your XtraValue bundle will not auto-renew upon expiry."
"If my Xtravalue bundle is on a One-off option, will I be able to opt in for the Recurrent option or renew the bundle?","Yes, you will be able to opt in for the Recurrent option or renew the bundle by sending R + bundle keyword to 312.Example: If you have an active XtraData3500 that is on the One-off option, you will be able to renew it by sending RD3500 to 312."
Will I be able to cancel auto-renewal anytime?,"Yes, you will be able to cancel auto-renewal on your bundle anytime by sending the No + Bundle code to 312 E.g. NoD300 to 312."
What happens when I cancel auto-renewal on my bundle?,"Once you cancel auto-renewal on your bundle, the bundle will not be renewed but your Calls, SMS, and Data will be charged from your main account or any active bonus account after your bundle has expired."
How much will I be charged for migrating into the XtraValue plan?,"You will not be charged the migration fee of N102 while migrating into the XtraValue plan after subscribing to a plan, only the bundle plan fee will be deducted."
How much will I be charged for migrating out of XtraValue plan?,"Your first migration out of XtraValue plan in a month will not be charged BUT for subsequent migration out of the plan within the same month, you will be charged N102.XtraValue Cross-Sell TableData Bundle Customer Tries to PurchaseXtraData Bundle Suggested to CustomerN1,000 for 1.5GB (30days)XtraData1000 (30days)N2,000 for 4.5GB (30days)XtraData2000 (30days)N3,500 for 12GB (30days)XtraData3500 (30days)N5,000 for 15GB (30days)XtraData5000 (30days)N10,000 for 40GB (30days)XtraData10000 (30days)N15,000 for 75GB (30days)XtraData20000 (30days)"
Will I be able to purchase the XtraValue bundle from any tariff plan?,"Yes, you will be able to purchase any XtraValue bundle while on any prepaid tariff plan but as soon as the subscription is completed, you will be automatically migrated to XtraValue plan."
"Will I be able to enjoy other MTN Products, Services, Offers and Promotions while on XtraValue Plan?","Yes, you will be able to enjoy all MTNN Products, Services, Offers, and Promotions while on XtraValue plan."
"Where will my National, International calls, SMS and Data be charged from if I have an active XtraValue bundle?","All your national calls, international calls to the 7 (seven) selected destinations, SMS and Data will be deducted from your XtraValue bundle account until the bundle element is exhausted. As soon as the bundle elements are exhausted, your call, SMS and Data will be deducted from your normal main account or any active bonus account."
"What happens if my bundle is exhausted, and I do not renew it?","Once you exhaust your bundle and you do not renew it, your SMS, calls, or data will be deducted from your main account at the tariff plan rate. Your national calls will be charged at 20.48k/sec, standard international call, and National SMS at N4.10.But as soon as you recharge up to the bundle fee, your bundle will be renewed automatically, and calls charged at the normal XtraValue bundle rate."
Will I be able to migrate to another plan and use my active bundle on the new tariff plan?,You will be able to migrate out of the XtraValue plan to another tariff plan even if you have an active XtraValue bundle BUT you will NOT be able to use the bundle balance on the plan you migrated to and the bundle will not auto-renew on the day of supposed renewal.
Will my expired bundle be auto-renewed even if I am not on XtraValue Plan?,"No, your bundle will not renew while you are on another tariff plan."
Will I be allowed to purchase multiple XtraValue bundles while on the XtraValue plan?,"Yes, you will be able to purchase multiple bundles while on the XtraValue plan. For example, you can purchase both XtraTalk 500 and XtraTalk 1000 together."
Will the system be able to renew my XtraValue Bundle after exhausting the bundle elements?,"Yes, your XtraValue Bundle will renew automatically after exhausting either the airtime or data element depending on the bundle type and if you have enough airtime to purchase. Example:You have an active XtraTalk bundle and finish the airtime, your bundle will auto-renew even if you have not exhausted the data BUT you will ONLY be able to use the remaining data balance before the bundle expires.In the same way, if you have an active XtraData bundle and you exhaust the data, your bundle will auto-renew even if you have not exhausted the airtime BUT you will ONLY be able to use the remaining airtime balance before the bundle expires."
Will I be able to roll over my unused data and airtime if I renew my bundle before or after expiry?,"No, you will NOT be able to rollover your unused data and airtime if you renew before expiry. Each Xtravalue bundle have different expiration date and all unused data and airtime will be cleared once the bundle expires.Example:You have an Xtratalk 2000 bundle that is to expire tomorrow, and if you activate the same bundle today, you will be able to enjoy the bundle balance of the previous Xtratalk 2000 bundle until it expires tomorrow. After tomorrow, the balance of the previous bundle will be cleared off then you will be able to use the new bundle."
How can I check my main account and XtraValue balance on the XtraValue plan?,"You can check your main account balance, XtraValue bundle balance, and bundle expiry by dialling the code *310# & *310*61#"
Can I subscribe to different types of XtraValue bundles?,"Yes, you can subscribe to different bundles at a time."
Will I be able to use my Xtravalue bundle while roaming?,"Yes, you will be able to use some selected Xtravalue bundle plans while roaming in the eligible destination. Please see below the eligible bundle plans:XtraTalk 2000 & Data 2000XtraTalk 3500 & XtraData 3500XtraTalk 5000 & Data 5000XtraTalk 10000 & Data 10000XtraTalk 15000 & Data 15000XtraTalk 20000 & Data 20000"
Which countries are eligible for international destinations?,There are 6 eligible countries. The eligible countries are listed below:United StatesCanadaIndiaMalaysiaNorwaySouth Korea
Can I subscribe to any Xtravalue bundle while roaming?,"Yes, you will be able to subscribe to any of our Xtravalue bundle plans while roaming, however, if the bundle plan is not in the listed eligible XtraValue bundle plans allowed, you will NOT be able to use it even if you are in the eligible destinations."
Can I use the eligible Xtravalue bundle plan in any country while roaming?,"No, you will ONLY be able to use the eligible XtraValue bundle plan while roaming in any of the eligible destinations.Refer to the table below for the eligible destinations."
What activities can I perform with my Xtravalue bundle while roaming?,You will be able to perform the following activities with the eligible XtraTalk or XtraData bundle plans:Make calls to eligible destinations and back home (Nigeria).Receive calls from eligible destinations.Send SMS to eligible destinations.Browse while roaming in eligible destinations.
Will I receive the same data volume or airtime value if I activate the Xtravalue bundles while roaming?,"Yes, you will receive the same data volume or airtime value when you activate the XtraValue bundle plan while roaming but the depletion rate will be different from when you are back home.Example: If you activate XtraTalk20000 monthly bundle in Nigeria you will receive the same 4.5GB and N80,200 while roaming.Refer to table below for the charges."
Will I be charged the same rate when using the Xtravalue bundles locally or while roaming?,"No, your calls/SMS and data rate while using the Xtravalue bundles locally or while roaming in the eligible destinations will be charged differently.Example: If you buy an XtraTalk2000 bundle that gives N7,850 + 650MB, your calls, SMS and Data will be charged at N27/min, N4/SMS, and N0.23/MB respectively while using it in Nigeria. However, while roaming, your calls, SMS, and Data within the eligible destinations will be charged at N630/min, N300/SMS, and N110/MB respectively. The reverse should apply when you return to Nigeria.Refer to the table below for the charges."
"What happens, if I exhaust my Xtravalue Bundle or bundle has expired, and I call an eligible destination?","If you exhaust your bundle or your bundle has expired while roaming and you call an eligible destination, your calls/SMS/data will be charged from another Roaming bundle account (if available) otherwise from your main account and at the standard roaming rate."
"What happens, if I have an active Xtravalue Bundle and I call a country not listed in the eligible destinations?","If you have an active Xtravalue bundle plan and you call any destination not in the eligible destinations, your calls/SMS/data will be charged first from a Roaming bundle account (if available) otherwise from your main account and at standard roaming rate."
"If I have an active Xtravalue bundle balance while roaming, will I be able to use the bundle balance when I return to Nigeria?","Yes, you will be able to use the remaining bundle balance when you return to Nigeria, and you will be charged at the applicable local rates."
"If I have an active Xtravalue bundle and a roaming bundle while roaming, which account will deplete first?",Your calls/SMS/data will be charged in this order:XtraValue bundle -> Roaming bundle account -> Main account.
What is the Virtual Recharge Bonus?,"This is a recharge offer that gives customer 50% bonus on all recharges made via eligible virtual recharge channels. The 50% bonus is split into two �30% airtime bonus.20% data bonus on recharge below N10,000. However, a recharge above N10,000 will ONLY get a flat amount of N2000 as data bonus."
Who can enjoy the 50% Virtual Recharge Bonus?,All MTN Prepaid and Postpaid customers can enjoy the Virtual recharge bonus.
What should I do to get the 50% virtual recharge bonus?,You can get the 50% virtual recharge bonus when you recharge via the eligible recharge channels listed below:1. MTN OnDemand (*904#)Bank Account optionDebit Card option2. myMTN NG app.Airtime recharge option ONLY.
How long will I be able to use the 50% bonus on virtual recharge?,The 50% virtual recharge bonus will be valid for 7 days BUT unused bonus will be cleared after 7days.
Will I be able to share my 50% virtual recharge bonus?,No. The 50% virtual recharge bonus can�t be shared/transferred to another line.
"If I have airtime balance on my line and I get 30% airtime bonus on virtual recharge, which of my balances will be charged first?","When you make calls, your 30% airtime bonus on virtual recharge will be charged first until it is exhausted after which call charges will now be from your main balance or any other balance on your line.Note: Some tariff plans like Pulse and XtraSpecial get charged from their main account for the first minute call of the day after which subsequent minutes will be charged from their 30% airtime bonus on virtual recharge or other balances, while other plans like Betatalk and YafunYafun get charged from their main account for the first and fifth minute call of the day after which subsequent minutes will be charged from their 30% airtime bonus on virtual recharge or other balances.Pulse and XtraspecialFirst minute: Main Account.Subsequent minutes: 30% airtime Bonus -> Other Airtime Bonus -> Main Account.Betatalk and YafunYafunFirst minute: Main Account.Second to fourth minute: 30% airtime bonus -> Betatalk/YafunYafun recharge bonus -> other bonuses.Fifth minute: Main AccountSubsequent minutes: 30% airtime bonus -> Betatalk/YafunYafun recharge bonus -> other bonuses."
Will I get 50% virtual recharge bonus when I receive or send airtime via MTN Share?,No. You will not get the 50% virtual recharge bonus when you receive or send airtime via MTN Share.
What activities can I perform with the 50% virtual recharge bonus?,"You will be able to make local calls, send SMS and browse any website or app with the 30% airtime bonus and browse with the 20% data bonus on virtual recharge."
How much will I be charged when using the 50% virtual recharge bonus?,The table below contains the rate you will be charged from the 50% virtual recharge bonus.�30% airtime bonus on virtual recharge20% data bonus on virtual rechargeLocal Calls50k/sec (N30/min)N/ALocal SMSN4/SMSN/ALocal DataN15/MBN1/MB
When will I be able to use the 50% virtual recharge bonus?,You will be able to use the 50% virtual recharge bonus at any time of the day.
How many times can I get the 50% virtual recharge bonus?,You will receive the 50% virtual recharge bonus for every recharge you make via the eligible channels.
What is MTN eShop?,"MTN eShop is an online platform that brings convenience to our customers. It enables our customers browse and purchase from a wide range of products and services with ease in the comfort of their homes or at a click of a button. This products and services include smartphones, broadband routers, airtime, data bundles, etc. It enables a secure, convenient, and hassle-free experience for our customers which is our goal."
What items can be gotten from the eShop?,"Products and services such as Data bundle purchase, Purchase of variety of devices; Smartphones, MTN 5G Broadband Router, MTN 4G Broadband Router, 4G MiFi, Enterprise services, Airtime Recharge, Bulk SMS etc."
How can one have access to the eShop?,You can access MTN eShop from any internet enabled device by either visiting the shop via MTN�s corporate website https://mtn.ng/ OR shop directly via this link https://shop.mtn.ng/
How do I log in,"You can log in on MTN eShop by following the next steps: 1. Click on the profile icon�at the right of your screen. 2. Select your preferred login method (Facebook, Google account, Email or Phone number) and follow the prompt 3. You can now log in! Note: The phone number option is only available to MTN lines."
How do I register,"You can create an account by following the next steps: 1. Click on profile icon at the right of your screen. 2. Select your preferred sign up method (Facebook, Google account, Email, Phone number) and follow the prompt 3. Your MTN eShop account is now created! Note: The phone number option is only available to MTN lines."
How do I place an order on MTN eShop?,To place an order on MTN eShop: 1. Enter the name of the item you�d like to buy in the search bar. You can also browse for products by hovering or selecting �Shop� on the top left-hand side of your screen 2. Select the product/plan to learn more about it 3. Click �Add to cart� if you want to want to keep browsing for more products or click �Buy Now� to proceed to the checkout page 4. Register or login into your existing account by using the various log in options available to you 5. Enter your shipping/billing information ensuring your address is complete and accurate 6. Select a Delivery Method (This step is applicable for devices) 7. Choose your preferred Payment Method 8. Click on Order to complete your order.
I want to reset my password linked to my email address. What do I do?,You can reset your password by following these steps:1. On the login page click on�Don�t remember your password 2. Enter your email address3. A password reset link will be sent to the email address you provided4. Click on the reset link sent to your email address5. Enter your new password and submit6. Use your new password for subsequent logins
I am having trouble adding products to my cart. What do I do?,"If you are having trouble adding a product to your cart, it may mean the following:� If it is a device, please ensure that you have made all relevant size and color selections. It could also mean that the item you are trying to buy is sold out.� If it is a data plan or digital service, it may mean that the number you are buying the bundle for is not eligible for this service.�For additional information, you can contact our customer support team via email at customercareng@mtn.com or Dial 300 from an MTN line or 08031000300 from any other network."
How can I change the phone number on my account?,"You can change your phone number on your account by following these steps: 1. Sign in to your account 2. Click on your name and select �My account�� 3. Under personal information, click on Edit 4. In the mobile number section, click on the input box to edit your phone number 5. You will receive an OTP through SMS on the new phone number 6. Enter the OTP in the box 7. The phone number is now changed!"
Are prices on eShop negotiable?,No. Prices on MTN eShop are not negotiable. You may opt to use a promotional voucher for an added discount if available and usage conditions are met. Please keep an eye on our social media updates to be informed about our campaigns and flash sales for best prices.
Is there an option for pick-up or delivery?,"There are options for delivery or pick up during the checkout process. For delivery, ordered items will be delivered to your address while for pick-up options, you will be able to pick up your items at an MTN Store close to you. For more information, you can contact our customer support team via email at customercare.ng@mtn.com or Dial 300 from an MTN line or 08031000300 from any other network for all inquiries."
What are the payment methods used in the eShop?,"eShop has a variety of payment channels which includes Debit cards, Bank transfers, USSD, NQR, MoMo, and Airtime (for bundles)"
Can I make corporate or bulk purchases?,"Yes, you can make a corporate purchase by going to the enterprise services option on the eShop homepage. And you can also add items to cart for bulk purchases."
What are your privacy policies?,"We respect the privacy of our Customers� Information which should be protected through the use and interaction with https://shop.mtn.ng/, https://mtn.ng/ and all associated websites, mobile applications, products, and services. Go to Privacy and Cookie Policy | Shop MTN Nigeria to see the type of Personal Information we collect from You, Our Customers, and/or Users; how We will treat that Personal Information; and the circumstances under which We will share it with third parties"
Can I drop a review or give feedback on a product or service?,"We value customer reviews and feedback, and that feature will be activated on the eShop soon"
How do I contact customer services?,You can contact our customer services via email at customercare.ng@mtn.com or dial 300 from an MTN line or 08031000300 from any other network for all inquiries.
Do you offer discounts or promotions?,Discounts or promotions will be announced on the eShop when or if any is available
"I am having trouble signing into eShop, what should I do?","If you have a problem signing up on eShop, please contact customer service via email at customercare.ng@mtn.com or Dial 300 from an MTN line or 08031000300 for all inquiries."
How do I check the status of my order?,"To check the status of your order, simply login to your account and navigate to the My Account section on your profile and select My orders"
"If I receive damaged or defective products, what should I do?","You are allowed to return such defective devices, and after a few investigations, the device will be replaced"
Can I pay on delivery?,"Currently, we do not offer payment on delivery as a payment option. We require all payments to be made through our secure platform before any services are rendered or products are shipped"
"My payment was not successful, but my account got debited, what do I do?",Please send the proof of payment to eShopsupport.ng@mtn.com so that we can investigate and rectify the situation
What currencies do you accept?,Payments on eShop are in NGN (Naira)
Do you offer installment payments?,No. It is expected that you pay for your product in full.
Can I change or cancel my order?,"No. Once an order is placed and payment has been made, you will be unable to make any cancellations. Please review your order thoroughly before finalizing it to ensure that it aligns with your requirements."
"I placed an order, but never received a confirmation email, what do I do?",Please send the proof of payment to eShopsupport.ng@mtn.com so that we can investigate and rectify the situation
How soon can I pick up my order from your store?,Your orders will be ready for pick up after a period of 24 hours.
What happens if my package is lost or stolen?,Please send an email to eShopsupport.ng@mtn.com so that we can investigate and rectify the situation.
How can I track my order?,"To track your order, simply log in to your account and navigate to the My Account section on your profile and select My orders, there you will be able to see the status of your order whether active, pending, completed or canceled orders. To see more details on your order, click �view order details. You also receive status updates via email and SMS notifications to keep you easily updated. For more information, you can contact our customer support team via email at customercare.ng@mtn.com or Dial 300 from an MTN line or  08031000300 from any other network for all inquiries."
"My tracking shows delivered, but I never received it. What do I do?",Please send the proof of payment to eShopsupport.ng@mtn.com so that we can investigate and rectify the situation
What is the duration of delivery?,"Delivery usually takes between 2 - 8 working days (including Saturdays), to get your product delivered to you, depending on your location and the availability of the product. When you place an order on eShop, you will receive an estimated delivery date for your order. Please click here for more information on delivery timelines."
Which locations do you deliver to?,"Delivery is available in 33 states, except for Benue, Katsina, Taraba and Zamfara."
What happens when I don't find my city?,You may re-route your delivery to a city closest to your location or use the pick-up option to pick up from selected MTN Service Centers.
What will happen if I am not at home/office?,"Your delivery will be re-scheduled if you are not available to receive your order. However, re-scheduling can only be done twice."
Do you offer international shipping?,No. Only nationwide delivery is available for now.
Can I change or update my shipping address?,It is not possible to change the delivery address once the payment has been processed. It is important to double-check all your information before submitting your order to ensure that it is accurate and up to date.
Do you offer free shipping?,"No, the cost of delivery will be handled by the purchaser irrespective of the amount of product bought."
Is there a refund policy?,"Yes. Please refer to our return policy for more information on our warranty terms and conditions. For more information, you can contact our customer support team via email at customercare.ng@mtn.com or Dial 300 from an MTN line or 08031000300 from any other network for all inquiries."
How can I return my faulty device?,You can log a complaint about your damaged device on our Faulty Device portal OR visit any of the MTN Service Centers listed here to return any defective product.
What's the warranty on my device?,"Our broadband devices come with a one-year warranty. If your device is found to be defective within the warranty period, we will repair or replace it (as applicable) free of charge. Log a complaint about your damaged device on our Faulty Device portal. Please keep in mind that the warranty does not cover damage caused by accidents, misuse, or unauthorized modifications."
Can I get a refund if I do not want my device again?,"We do not offer refunds items you are no longer interested in as per our return policy. However, we do offer warranty repairs or replacements if your device is found to be faulty within the warranty period. Please refer to our return policy for more information on our warranty terms and conditions. For more information, you can contact our customer support team via email at customercare.ng@mtn.com or Dial 300 from an MTN line or 08031000300 from any other network for all inquiries."
What are the Requirements for a valid return on eShop?,"If your device is found to be defective within the warranty period, we will repair or replace it (as applicable) free of charge. However, please keep in mind that the warranty does not cover damage caused by accidents, misuse, or unauthorized modifications."
What services do you offer?, "I offer the following services:  
A. Voice Services
- Local and international calling
- Voicemail
- Call forwarding, waiting, and conferencing

B. Data Services
- 3G, 4G, 5G mobile internet
- Mobile hotspots/tethering
- Roaming data plans

C. Messaging Services
- SMS and MMS
- Rich Communication Services (RCS)
- Bulk SMS for businesses

D. Value-Added Services (VAS)
- Caller tunes
- Mobile TV/Video streaming
- Cloud storage and backup
- Emergency services (like SOS or panic alert)

E. Roaming and International Services
- International calling & texting
- International roaming packs
- eSIM support for global travelers
"
What products do you offer?," I offer the following products:
A. SIM Cards
- Prepaid and postpaid SIMs
- eSIMs (digital SIMs)
- Data-only SIMs for tablets/routers

B. Mobile Devices
- Smartphones and tablets
- Feature phones
- Mobile routers (MiFi devices)

C. Wearables and Smart Devices
- Smartwatches with SIM connectivity
- IoT-enabled gadgets

D. Accessories
- Chargers, headphones, and power banks
- Protective gear (cases, screen guards)

E. Mobile Apps
- Self-service apps for account management
- Payment and recharge apps
- Customer support chatbots

F. Routers and Modems
- 4G/5G routers
- Dongles and data cards
"

